Kanji,Kanji Meaning,Onyomi Romaji,Onyomi Kana,Kunyomi Romaji,Kunyomi Kana
迎,"welcome, meet, greet",gei,ゲイ,muka(eru),むか(える)
園,"park, garden, yard",en,エン,sono,その
具,"tool, utensil",gu,グ,"sona(eru), tsubasa(ni)","そな(える), つぶさ(に)"
辞,"resign, word, term",ji,ジ,ya(meru),や(める)
因,"cause, factor, depend on",in,イン,"yo(ru), china(mu)","よ(る), ちな(む)"
馬,horse,ba,バ,uma,うま
愛,"love, affection",ai,アイ,"ito(shii), mana","いと(しい), まな"
富,"wealth, enrich, abundant","fu, fuu","フ, フウ","to(mu), tomi","と(む), とみ"
彼,"he, him",hi,ヒ,"kare, kano","かれ, かの"
未,"un-, not yet","mi, bi","ミ, ビ","ima(da), ma(da)","いま(だ), ま(だ)"
舞,"dance, circle",bu,ブ,"ma(u), mai","ま(う), まい"
亡,"deceased, dying","bou, mou","ボウ, モウ",na(kunaru),な(くなる)
冷,"cool, cold, chill",rei,レイ,"tsume(tai), hi(eru), sa(meru)","つめ(たい), ひ(える), さ(める)"
適,"suitable, occasional, rare",teki,テキ,kana(u),かな(う)
婦,"lady, woman, wife",fu,フ,yome,よめ
寄,"draw near, gather",ki,キ,yo(ru),よ(る)
込,"crowded, mixture",,,ko(mu),こ(む)
顔,"face, expression",gan,ガン,kao,かお
類,"sort, kind, variety, class, genus",rui,ルイ,tagu(i),たぐ(い)
余,"too much, surplus",yo,ヨ,ama(ru),あま(る)
王,"king, rule",ou,オウ,,
返,"return, answer",hen,ヘン,kae(su),かえ(す)
妻,"wife, spouse",sai,サイ,tsuma,つま
背,"stature, height, back",hai,ハイ,"se, sei","せ, せい"
熱,"heat, fever, passion",netsu,ネツ,atsu(i),あつ(い)
宿,"inn, lodging",shuku,シュク,yado,やど
薬,"medicine, chemical",yaku,ヤク,kusuri,くすり
険,"precipitous, inaccessible place",ken,ケン,kewa(shii),けわ(しい)
頼,"trust, request",rai,ライ,"tano(mu), tayo(ru)","たの(む), たよ(る)"
覚,"memorize, learn, remember, awake",kaku,カク,"obo(eru), sa(masu)","おぼ(える), さ(ます)"
船,"ship, boat",sen,セン,"fune, funa","ふね, ふな"
途,"route, way, road",to,ト,michi,みち
許,"permit, approve",kyo,キョ,yuru(su),ゆる(す)
抜,"slip out, extract, pull out, remove",batsu,バツ,nu(ku),ぬ(く)
便,"convenience, facility","ben, bin","ベン, ビン",tayo(ri),たよ(り)
留,"detain, fasten, halt, stop","ryuu, ru","リュウ, ル","to(maru), todo(meru)","と(まる), とど(める)"
罪,"guilt, sin, crime",zai,ザイ,tsumi,つみ
努,"toil, diligent, as much as possible",do,ド,tsuto(meru),つと(める)
精,"refined, ghost, fairy, energy","sei, shou","セイ, ショウ",shira(geru),しら(げる)
散,"scatter, disperse",san,サン,"chi(ru), bara(keru)","ち(る), ばら(ける)"
静,quiet,"sei, jou","セイ, ジョウ",shizu(ka),しず(か)
婚,marriage,kon,コン,,
喜,"rejoice, take pleasure in",ki,キ,yoroko(bu),よろこ(ぶ)
浮,"float, rise to surface",fu,フ,u(kabu),う(かぶ)
絶,"discontinue, unparalleled",zetsu,ゼツ,ta(eru),た(える)
幸,"happiness, blessing, fortune",kou,コウ,"saiwa(i), sara, shiawa(se)","さいわ(い), さち, しあわ(せ)"
押,push,ou,オウ,o(su),お(す)
倒,"overthrow, fall, collapse",tou,トウ,tao(reru),たお(れる)
等,"etc., and so forth",tou,トウ,"hito(shii), nado","ひと(しい), など"
老,old,rou,ロウ,"o(iru), fu(keru)","お(いる), ふ(ける)"
曲,"bend, music, melody",kyoku,キョク,ma(garu),ま(がる)
払,pay,,,hara(u),はら(う)
庭,"courtyard, garden, yard",tei,テイ,niwa,にわ
徒,"on foot, junior",to,ト,,
勤,"diligence, employed, serve","kin, gon","キン, ゴン",tsuto(meru),つと(める)
遅,"slow, late, back, later",chi,チ,"oku(reru), oso(i)","おく(れる), おそ(い)"
居,"reside, to be, exist","kyo, ko","キョ, コ","i(ru), o(ru)","い(る), お(る)"
雑,miscellaneous,"zatsu, zou","ザツ, ゾウ",maji(ru),まじ(る)
招,"invite, summon, engage",shou,ショウ,mane(ku),まね(く)
困,"quandary, become distressed",kon,コン,koma(ru),こま(る)
欠,"lack, gap","ketsu, ken","ケツ, ケン",ka(keru),か(ける)
更,"renew, renovate, again",kou,コウ,"sara(ni), fu(keru)","さら(に), ふ(ける)"
刻,"engrave, cut fine, chop",koku,コク,kiza(mu),きざ(む)
賛,"approve, praise",san,サン,,
抱,"embrace, hug",hou,ホウ,"da(ku), ida(ku), kaka(eru)","だ(く), いだ(く), かか(える)"
犯,"crime, sin, offense",han,ハン,oka(su),おか(す)
恐,"fear, dread",kyou,キョウ,"oso(reru), kowa(i)","おそ(れる), こわ(い)"
